subject,scenario,trial_number,physical,document,witness,character
62e1f3f870894e12168113c5,21,0,clear_in,clear_ex,ambiguous,none
62e1f3f870894e12168113c5,13,1,none,clear_in,none,none
62e1f3f870894e12168113c5,27,2,clear_ex,ambiguous,clear_in,clear_ex
62e1f3f870894e12168113c5,2,3,none,none,clear_in,clear_in
62e1f3f870894e12168113c5,30,4,ambiguous,ambiguous,clear_in,none
62e1f3f870894e12168113c5,15,5,ambiguous,clear_in,clear_ex,clear_in
62e1f3f870894e12168113c5,20,6,clear_ex,clear_in,ambiguous,clear_in
62e1f3f870894e12168113c5,16,7,clear_in,none,clear_in,clear_ex
62e1f3f870894e12168113c5,24,8,ambiguous,clear_in,none,clear_ex
62e1f3f870894e12168113c5,8,9,clear_in,ambiguous,none,none
62e1f3f870894e12168113c5,26,10,clear_in,none,clear_in,clear_in
62e1f3f870894e12168113c5,10,11,none,clear_in,clear_ex,clear_in
62e1f3f870894e12168113c5,5,12,clear_in,clear_ex,clear_in,clear_ex
62e1f3f870894e12168113c5,12,13,clear_in,clear_in,clear_in,clear_in
62e1f3f870894e12168113c5,17,14,ambiguous,clear_in,clear_in,clear_in
62e1f3f870894e12168113c5,6,15,none,none,clear_in,clear_ex
62e1f3f870894e12168113c5,14,16,clear_in,clear_ex,ambiguous,clear_ex
62e1f3f870894e12168113c5,1,17,clear_ex,clear_in,clear_in,none
62e1f3f870894e12168113c5,31,18,clear_in,none,none,none
62e1f3f870894e12168113c5,11,19,clear_in,none,ambiguous,clear_in
62e1f3f870894e12168113c5,25,20,ambiguous,clear_ex,clear_in,clear_in
62e1f3f870894e12168113c5,29,21,clear_in,ambiguous,clear_ex,clear_in
62e1f3f870894e12168113c5,9,22,clear_in,none,none,clear_ex
62e1f3f870894e12168113c5,22,23,clear_ex,clear_in,clear_in,clear_in
62e1f3f870894e12168113c5,4,24,clear_ex,clear_in,none,none
62e1f3f870894e12168113c5,28,25,clear_ex,clear_in,clear_ex,clear_in
62e1f3f870894e12168113c5,19,26,clear_in,none,ambiguous,clear_ex
62e1f3f870894e12168113c5,3,27,none,ambiguous,clear_in,clear_in
62e1f3f870894e12168113c5,23,28,ambiguous,clear_in,ambiguous,clear_ex
62e1f3f870894e12168113c5,18,29,clear_in,ambiguous,ambiguous,clear_in
62e1f3f870894e12168113c5,7,30,clear_ex,none,clear_in,none
610ec31b33de16c5167f3062,28,0,none,none,clear_in,clear_in
610ec31b33de16c5167f3062,24,1,clear_in,clear_ex,clear_ex,clear_in
610ec31b33de16c5167f3062,21,2,clear_in,clear_in,clear_ex,clear_in
610ec31b33de16c5167f3062,17,3,clear_in,clear_in,ambiguous,none
610ec31b33de16c5167f3062,11,4,ambiguous,clear_in,clear_ex,clear_in
610ec31b33de16c5167f3062,26,5,none,clear_in,none,clear_ex
610ec31b33de16c5167f3062,19,6,clear_in,clear_ex,clear_in,none
610ec31b33de16c5167f3062,10,7,clear_in,none,ambiguous,clear_ex
610ec31b33de16c5167f3062,1,8,clear_ex,clear_in,clear_in,clear_in
610ec31b33de16c5167f3062,14,9,none,none,clear_in,none
610ec31b33de16c5167f3062,18,10,clear_ex,clear_in,clear_in,none
610ec31b33de16c5167f3062,23,11,none,clear_in,clear_in,clear_ex
610ec31b33de16c5167f3062,27,12,ambiguous,clear_in,ambiguous,none
610ec31b33de16c5167f3062,25,13,clear_in,clear_in,clear_ex,clear_ex
610ec31b33de16c5167f3062,22,14,clear_in,clear_in,ambiguous,clear_in
610ec31b33de16c5167f3062,13,15,clear_in,none,clear_ex,clear_in
610ec31b33de16c5167f3062,4,16,clear_ex,clear_in,ambiguous,clear_ex
610ec31b33de16c5167f3062,7,17,ambiguous,clear_in,none,clear_ex
610ec31b33de16c5167f3062,9,18,clear_ex,none,clear_in,clear_in
610ec31b33de16c5167f3062,6,19,ambiguous,clear_in,ambiguous,clear_in
610ec31b33de16c5167f3062,16,20,none,clear_in,clear_in,none
610ec31b33de16c5167f3062,29,21,clear_in,ambiguous,ambiguous,clear_ex
610ec31b33de16c5167f3062,12,22,clear_in,ambiguous,clear_in,none
610ec31b33de16c5167f3062,15,23,none,clear_ex,clear_in,clear_in
610ec31b33de16c5167f3062,2,24,ambiguous,clear_ex,clear_in,none
610ec31b33de16c5167f3062,5,25,none,clear_in,clear_ex,clear_in
610ec31b33de16c5167f3062,3,26,clear_in,clear_ex,ambiguous,clear_ex
610ec31b33de16c5167f3062,31,27,clear_ex,clear_in,ambiguous,none
610ec31b33de16c5167f3062,8,28,clear_in,clear_in,ambiguous,clear_ex
610ec31b33de16c5167f3062,20,29,clear_in,ambiguous,clear_ex,none
610ec31b33de16c5167f3062,30,30,clear_in,clear_ex,clear_in,clear_ex
614f8d1b24092468e309e7ba,31,0,clear_ex,none,clear_in,none
614f8d1b24092468e309e7ba,17,1,clear_in,clear_in,clear_in,clear_in
