"","question","scenario","rating","recall","realrate","know","num_uid","physical","document","witness","character"
"1",0,5,96,47,99,94,1,"clear_in","clear_in","clear_ex","none"
"2",1,6,75,45,99,85,1,"clear_in","clear_in","none","clear_ex"
"3",2,12,46,23,93,24,1,"ambiguous","none","clear_in","clear_ex"
"4",3,8,25,5,91,10,1,"ambiguous","ambiguous","clear_in","none"
"5",4,2,44,83,97,77,1,"ambiguous","ambiguous","clear_in","clear_ex"
"6",5,28,62,1,95,3,1,"clear_in","none","ambiguous","clear_in"
"7",6,29,11,21,100,17,1,"none","clear_in","none","none"
"8",7,30,77,51,99,19,1,"clear_in","ambiguous","ambiguous","clear_ex"
"9",8,21,84,9,98,3,1,"clear_in","clear_ex","ambiguous","clear_ex"
"10",9,16,20,2,100,6,1,"clear_in","clear_ex","clear_ex","clear_in"
"11",10,23,63,44,98,63,1,"clear_in","ambiguous","none","none"
"12",11,19,98,61,99,71,1,"clear_in","clear_in","none","clear_in"
"13",12,27,46,31,98,22,1,"none","ambiguous","clear_in","none"
"14",13,11,32,4,100,2,1,"none","none","clear_in","clear_in"
"15",14,24,98,1,97,0,1,"clear_in","clear_in","clear_in","clear_ex"
"16",15,22,71,1,97,2,1,"clear_in","clear_ex","ambiguous","clear_in"
"17",16,18,49,1,98,2,1,"clear_in","ambiguous","clear_ex","clear_ex"
"18",17,10,23,1,99,2,1,"none","clear_ex","clear_in","none"
"19",18,26,48,1,98,3,1,"clear_in","none","clear_ex","none"
"20",19,20,93,73,98,62,1,"clear_in","none","clear_in","clear_in"
"21",20,13,42,2,99,47,1,"clear_ex","clear_in","none","clear_in"
"22",21,31,98,1,96,5,1,"ambiguous","clear_ex","clear_in","clear_in"
"23",22,17,90,5,95,42,1,"ambiguous","clear_in","ambiguous","clear_in"
"24",23,14,70,5,94,6,1,"clear_in","none","ambiguous","clear_ex"
"25",24,25,58,3,99,0,1,"ambiguous","clear_ex","clear_in","clear_ex"
"26",25,7,61,4,97,3,1,"ambiguous","clear_in","ambiguous","clear_ex"
"27",26,4,56,5,99,6,1,"clear_ex","clear_in","clear_in","clear_ex"
"28",27,15,91,68,99,65,1,"clear_in","clear_in","clear_ex","clear_ex"
"29",28,1,73,69,97,67,1,"clear_in","clear_ex","none","clear_in"
"30",29,3,58,63,97,91,1,"none","ambiguous","clear_in","clear_in"
"31",30,9,51,2,98,73,1,"ambiguous","clear_in","clear_in","none"
"32",0,15,8,0,100,0,2,"clear_ex","none","clear_in","clear_in"
"33",1,17,37,51,100,30,2,"ambiguous","none","clear_in","clear_ex"
"34",2,26,8,0,67,0,2,"clear_ex","clear_ex","clear_in","clear_in"
"35",3,11,18,0,99,0,2,"ambiguous","clear_ex","clear_in","clear_ex"
"36",4,14,72,0,100,9,2,"clear_in","clear_in","clear_in","clear_ex"
