"","uid","question","scenario","rating","recall","realrate","know","num_uid"
"1","53976390fdf99b73530fe503",0,5,96,47,99,94,1
"2","53976390fdf99b73530fe503",1,6,75,45,99,85,1
"3","53976390fdf99b73530fe503",2,12,46,23,93,24,1
"4","53976390fdf99b73530fe503",3,8,25,5,91,10,1
"5","53976390fdf99b73530fe503",4,2,44,83,97,77,1
"6","53976390fdf99b73530fe503",5,28,62,1,95,3,1
"7","53976390fdf99b73530fe503",6,29,11,21,100,17,1
"8","53976390fdf99b73530fe503",7,30,77,51,99,19,1
"9","53976390fdf99b73530fe503",8,21,84,9,98,3,1
"10","53976390fdf99b73530fe503",9,16,20,2,100,6,1
"11","53976390fdf99b73530fe503",10,23,63,44,98,63,1
"12","53976390fdf99b73530fe503",11,19,98,61,99,71,1
"13","53976390fdf99b73530fe503",12,27,46,31,98,22,1
"14","53976390fdf99b73530fe503",13,11,32,4,100,2,1
"15","53976390fdf99b73530fe503",14,24,98,1,97,0,1
"16","53976390fdf99b73530fe503",15,22,71,1,97,2,1
"17","53976390fdf99b73530fe503",16,18,49,1,98,2,1
"18","53976390fdf99b73530fe503",17,10,23,1,99,2,1
"19","53976390fdf99b73530fe503",18,26,48,1,98,3,1
"20","53976390fdf99b73530fe503",19,20,93,73,98,62,1
"21","53976390fdf99b73530fe503",20,13,42,2,99,47,1
"22","53976390fdf99b73530fe503",21,31,98,1,96,5,1
"23","53976390fdf99b73530fe503",22,17,90,5,95,42,1
"24","53976390fdf99b73530fe503",23,14,70,5,94,6,1
"25","53976390fdf99b73530fe503",24,25,58,3,99,0,1
"26","53976390fdf99b73530fe503",25,7,61,4,97,3,1
"27","53976390fdf99b73530fe503",26,4,56,5,99,6,1
"28","53976390fdf99b73530fe503",27,15,91,68,99,65,1
"29","53976390fdf99b73530fe503",28,1,73,69,97,67,1
"30","53976390fdf99b73530fe503",29,3,58,63,97,91,1
"31","53976390fdf99b73530fe503",30,9,51,2,98,73,1
"32","55a43c83fdf99b02ff6cb0aa",0,15,8,0,100,0,2
"33","55a43c83fdf99b02ff6cb0aa",1,17,37,51,100,30,2
"34","55a43c83fdf99b02ff6cb0aa",2,26,8,0,67,0,2
"35","55a43c83fdf99b02ff6cb0aa",3,11,18,0,99,0,2
"36","55a43c83fdf99b02ff6cb0aa",4,14,72,0,100,9,2
"37","55a43c83fdf99b02ff6cb0aa",5,30,37,44,100,28,2
"38","55a43c83fdf99b02ff6cb0aa",6,8,46,0,86,13,2
"39","55a43c83fdf99b02ff6cb0aa",7,21,35,0,99,0,2
"40","55a43c83fdf99b02ff6cb0aa",8,19,71,0,99,1,2
"41","55a43c83fdf99b02ff6cb0aa",9,23,57,96,100,52,2
"42","55a43c83fdf99b02ff6cb0aa",10,25,64,16,100,25,2
"43","55a43c83fdf99b02ff6cb0aa",11,16,36,0,99,20,2
"44","55a43c83fdf99b02ff6cb0aa",12,31,74,100,100,37,2
"45","55a43c83fdf99b02ff6cb0aa",13,24,76,11,100,19,2
"46","55a43c83fdf99b02ff6cb0aa",14,29,29,0,100,0,2
"47","55a43c83fdf99b02ff6cb0aa",15,28,52,0,100,12,2
"48","55a43c83fdf99b02ff6cb0aa",16,5,85,0,99,0,2
"49","55a43c83fdf99b02ff6cb0aa",17,22,50,61,87,25,2
"50","55a43c83fdf99b02ff6cb0aa",18,12,81,0,99,1,2
"51","55a43c83fdf99b02ff6cb0aa",19,7,56,0,83,2,2
"52","55a43c83fdf99b02ff6cb0aa",20,2,23,1,88,0,2
"53","55a43c83fdf99b02ff6cb0aa",21,3,58,19,98,4,2
"54","55a43c83fdf99b02ff6cb0aa",22,10,27,0,100,0,2
"55","55a43c83fdf99b02ff6cb0aa",23,13,97,28,100,13,2
"56","55a43c83fdf99b02ff6cb0aa",24,1,100,51,100,44,2
"57","55a43c83fdf99b02ff6cb0aa",25,6,73,0,100,21,2
"58","55a43c83fdf99b02ff6cb0aa",26,4,39,24,87,6,2
"59","55a43c83fdf99b02ff6cb0aa",27,9,17,1,100,10,2
"60","55a43c83fdf99b02ff6cb0aa",28,20,5,32,100,52,2
"61","55a43c83fdf99b02ff6cb0aa",29,27,9,52,100,30,2
"62","55a43c83fdf99b02ff6cb0aa",30,18,47,0,100,11,2
"63","566c9284d408ea000519c6d7",0,12,55,18,88,17,3
"64","566c9284d408ea000519c6d7",1,25,67,26,89,18,3
"65","566c9284d408ea000519c6d7",2,3,62,43,16,13,3
